address,body,label,category
+918583745808,Pre-approved offer from KreditBee. Get up to Rs.20000 today with minimal docs https://cashnow.app/JDG91bf,spam,instant_loan_offer
DM-TICKTS,CampusBuzz: Live events in Hyderabad this weekend. Tickets from Rs.800. Book now https://bookmy.show/mghX,spam,local_event_promo
BZ-GOIBIB,Travel with MakeMyTrip and enjoy up to 49% off on summer bookings. https://tripoffer.co/DMvn1Urin,spam,travel_flash_sale
TX-CASHBK,"Freecharge: Get 50% cashback up to Rs.250 on recharge, bill pay & scan and pay. Use now https://offers.wallet/yGLzk",spam,cashback_wallet
BZ-MEGASP,Exclusive JeetWin VIP pass for you. Deposit today and unlock Rs.20200 reward https://vipspin.live/KBziTnrbEB,spam,casino_vip
JD-OFFERS,"Your Freecharge promo is active now. Shop, recharge or pay bills to earn Rs.1850. https://offers.wallet/34idpLxkzM",spam,cashback_wallet
HP-RUMMYX,Weekend rummy dhamaka on RummyTime. Win up to Rs.1400 cash. Register now https://rmy.onl/leOV911x,spam,rummy_bonus
JM-CASHBK,Limited offer from Mobikwik. Flat Rs.1700 cashback on first UPI payment today https://phone.pe/LThmuoH,spam,cashback_wallet
TX-JLRUMY,Congrats! Your RummyTime account unlocked Rs.10900 instant cash games. Join now https://t.ly/TTpuJ,spam,rummy_bonus
HP-GOIBIB,Yatra: Flash sale live. Save up to Rs.7900 on flights & hotels. Book now https://tripoffer.co/BAXKBi,spam,travel_flash_sale
JM-FOODIE,Order now on EatSure and enjoy 65% discount before 20:20. https://swiggy.in/Q98zYI,spam,food_delivery_offer
DM-OFFERS,Order now on Zomato and enjoy 56% discount before 10:45. https://swiggy.in/eQBR4k4Y8,spam,food_delivery_offer
HP-OFFERS,Your Magicpin coupon is live. Use code SAVE269 and save Rs.200. https://swiggy.in/34ifWP,spam,food_delivery_offer
VM-NYKAAA,Wishlist items on Amazon are now on sale. Save Rs.700 instantly https://meesho.io/Pq2QmR8,spam,ecommerce_sale
BZ-BNPLOK,Split bills with LazyPay. No-cost EMI and pay-later limit up to Rs.85000. https://paylater.in/QQKpNFG66,spam,bnpl_offer
VM-NYKAAA,Meesho Sale Live: Up to 62% off on top picks. Extra Rs.4200 off today https://meesho.io/2Raxiz8K,spam,ecommerce_sale
AD-JIOINF,Grab your Airtel booster pack of 3GB/day. Recharge at just Rs.139. https://airtel.in/EM8a6,spam,telecom_recharge
+917798432518,RummyTime: Free Rs.250 welcome bonus + up to Rs.5950 cash table. Play now https://tinyurl.com/Fr6w6uaV,spam,rummy_bonus
CP-RBLBNK,RBL Bank: Upgrade to a premium card and get 8% cashback + 2400 bonus points. Apply https://applycard.app/EJJ7JnocMp,spam,credit_card_offer
+918463658345,Need cash? Fibe can disburse Rs.291000 directly to your bank. Apply now https://cashnow.app/CiOEFC9,spam,instant_loan_offer
+919318915359,PaySense: Instant personal loan up to Rs.63000 at 1.16% monthly. Apply in 2 min https://s.id/H7wKN1yNo,spam,instant_loan_offer
+917936916860,Pre-approved offer from MoneyView. Get up to Rs.424000 today with minimal docs https://s.id/aQtOp,spam,instant_loan_offer
HP-ICICIB,ICICI Bank: Upgrade to a premium card and get 19% cashback + 3900 bonus points. Apply https://cardsales.in/0vxQs8XWu,spam,credit_card_offer
VM-SWIGGY,Order now on Zomato and enjoy 73% discount before 16:15. https://zoma.to/g92Z,spam,food_delivery_offer
VK-LAZPAY,Amazon Pay Later: Shop now and pay later. Credit line up to Rs.26000 activated for you https://bnpl.app/JZ2dYaO,spam,bnpl_offer
VK-DATAPK,Flat Rs.59 for 1GB high-speed data on Jio. Tap to recharge https://jio.com/1kmOeP7,spam,data_pack_offer
+917666784043,Congrats! Your A23 Rummy account unlocked Rs.9200 instant cash games. Join now https://gmg.im/XRgtNVD6i3,spam,rummy_bonus
TX-FASHON,"Glow up with Tira. Grab lipstick, skincare and makeup deals before 12:15 https://tira.co/FaqLYEi8",spam,beauty_fashion_sale
JD-COURSE,"Admissions open on UpGrad. Limited seats, expert mentors, easy EMI. Enrol now https://upgrad.co/wDdfNY9",spam,edtech_promo
AD-MAKEMY,Weekend getaway alert from Goibibo. Extra Rs.7900 off with limited seats. https://tripoffer.co/vVIMECfDMj,spam,travel_flash_sale
TX-JLRUMY,Weekend rummy dhamaka on RummyTime. Win up to Rs.4300 cash. Register now https://bit.ly/C332fu,spam,rummy_bonus
HP-FESTIV,Festive sale on Dominos: up to 79% OFF + extra Rs.1450 off today only https://salezone.app/8N0T4vC6pY,spam,festival_sale
CP-NYKAAA,Meesho Sale Live: Up to 48% off on top picks. Extra Rs.4800 off today https://fkrt.it/FTkf2wt2WZ,spam,ecommerce_sale
+919118840489,99acres: New homes in Bengaluru from Rs.1800000. Site visit offers available https://propertylead.app/7oFde,spam,real_estate_lead
JM-MEGASL,Celebrate with Dominos. Limited festival deal unlocked for your number. Shop now https://t.ly/aiEiax,spam,festival_sale
TX-GLAMUP,Your Mamaearth coupon is active. Unlock flat Rs.1850 off on top products https://nykaa.com/ipAYyYyifI,spam,beauty_fashion_sale
TX-REFRAL,Refer & earn on PhonePe: flat Rs.575 per successful install. Start now https://invite-now.in/gUXX,spam,referral_program
BZ-EARNBK,Invite friends to Meesho with code IRJJI6 and earn Rs.200 for every signup https://refer.app/vPJuYfnpvh,spam,referral_program
CP-CASHBK,Limited offer from Paytm. Flat Rs.1400 cashback on first UPI payment today https://paytm.me/dGZX1Scu,spam,cashback_wallet
CP-GAMEZY,My11Circle: Join mega contest from Rs.989 and win up to Rs.148500. Create team now https://play11.win/92k4vuK,spam,fantasy_sports
JD-BIGDAY,Mega savings are live on Zomato. Use your festive coupon before stock ends https://festive-offers.in/hWbmyS,spam,festival_sale
DM-UPGRAD,New learner offer from Unacademy. Save Rs.2000 on job-ready programs today https://upgrad.co/lIejV,spam,edtech_promo
BZ-AMZON,Only for you: exclusive Myntra offer up to 42% OFF + prepaid savings. https://amzn.to/WUWZELZwFO,spam,ecommerce_sale
DM-OFFERS,Order now on Zomato and enjoy 62% discount before 09:45. https://swiggy.in/0Wm765kNK5,spam,food_delivery_offer
VK-PAYTM,Limited offer from Mobikwik. Flat Rs.600 cashback on first UPI payment today https://paytm.me/FyhKksnW2,spam,cashback_wallet
+918696667778,Pre-approved offer from KreditBee. Get up to Rs.146000 today with minimal docs https://cutt.ly/2PNt90v,spam,instant_loan_offer
VK-TICKTS,Your city pass from District unlocks discounts on shows in Bengaluru. Grab it now https://bookmy.show/dh1sD02,spam,local_event_promo
+919239560794,"Play roulette, slots and live casino on PariPlay. Bonus up to Rs.46800. https://casinozone.bet/lEOyRui",spam,casino_vip
AX-ADDA52,"PokerBaazi: Daily poker tournament live now. Buy-in Rs.1499, prize pool Rs.21000. https://pokerhub.in/JAuHOC",spam,poker_tourney
AX-AIRTEL,BSNL: Recharge with Rs.249 and get unlimited 5G + OTT benefits today https://airtel.in/Eolg590BCo,spam,telecom_recharge
+918571580280,Weekend rummy dhamaka on A23 Rummy. Win up to Rs.8600 cash. Register now https://gmg.im/KYZUz,spam,rummy_bonus
HP-NYKAAA,Hurry! Nykaa flash sale starts now. Claim coupon worth Rs.5000 before stock ends https://myntra.com/rrTk66IvBm,spam,ecommerce_sale
HP-FASHON,"Glow up with Mamaearth. Grab lipstick, skincare and makeup deals before 17:30 https://purplle.com/S7Ddwvk",spam,beauty_fashion_sale
AD-MY11CL,Only today: extra cashback on Gamezy fantasy leagues. Play and win Rs.37500. https://bit.ly/7gTuR,spam,fantasy_sports
JD-MEGASP,"Play roulette, slots and live casino on JeetWin. Bonus up to Rs.26000. https://playace.in/OOub25aJsm",spam,casino_vip
AD-EVENTS,Your city pass from CampusBuzz unlocks discounts on shows in Delhi. Grab it now https://bookmy.show/bnzO,spam,local_event_promo
VK-LOANOK,Pre-approved offer from PaySense. Get up to Rs.473000 today with minimal docs https://cashnow.app/TCgXaR,spam,instant_loan_offer
+919542665662,Navi: Instant personal loan up to Rs.135000 at 2.29% monthly. Apply in 2 min https://loanfast.in/bE4rdApnnb,spam,instant_loan_offer
+917207851819,Congrats! Your A23 Rummy account unlocked Rs.11450 instant cash games. Join now https://rmy.onl/9Qh8yXv6Um,spam,rummy_bonus
BZ-JLRUMY,Weekend rummy dhamaka on A23 Rummy. Win up to Rs.10300 cash. Register now https://rmy.onl/NWBo,spam,rummy_bonus
JM-MONEYV,Limited period: Fibe reduces processing fee on loans up to Rs.390000. https://tinyurl.com/wOGTZg,spam,instant_loan_offer
CP-ADDA52,Final call: PokerSaint tournament starts at 18:00. Join from Rs.199. https://pokerhub.in/xfdS3r,spam,poker_tourney
HP-MOVIES,Tonight only on Paytm Movies: popcorn combo + ticket discounts. Save Rs.300. https://pvr.im/Vk7R0Z,spam,movie_ticket_offer
VM-PAYTM,Limited offer from Paytm. Flat Rs.150 cashback on first UPI payment today https://offers.wallet/jgHxc,spam,cashback_wallet
BZ-TICKTS,"Explore comedy, music and workshops on SkillFest. Early-bird prices active https://bookmy.show/IkhUTiEz3P",spam,local_event_promo
AX-FOODIE,Your Dominos coupon is live. Use code SAVE406 and save Rs.175. https://foodoffers.app/oopwxTfQsZ,spam,food_delivery_offer
VK-CARSRV,Book with GoMechanic today and get flat Rs.2800 off on your next service https://autodeal.app/fXbyxzxFJJ,spam,auto_service_offer
JM-JLRUMY,Get Rs.1100 joining bonus on Junglee Rummy and enter cash pool of Rs.11750. https://bit.ly/C4Juv8sk,spam,rummy_bonus
BZ-FIBELO,Limited period: PaySense reduces processing fee on loans up to Rs.83000. https://applyloan.co/MrzyfLvcy1,spam,instant_loan_offer
TX-REALTY,Looking for property in Pune? NoBroker has verified listings and exclusive builder deals https://homesale.in/MIaDibZV0T,spam,real_estate_lead
+919681156066,JeetWin: VIP tables open now. Grab Rs.18300 bonus chips and spin instantly https://short.gy/ArxYc7,spam,casino_vip
AX-PVRCIN,Paytm Movies: Get 1+1 movie tickets or save Rs.400 on weekend bookings. Grab now https://pvr.im/4Gh7dA,spam,movie_ticket_offer
VK-CASHBK,Limited offer from Paytm. Flat Rs.1500 cashback on first UPI payment today https://freecharge.in/xj4xK1NJ,spam,cashback_wallet
TX-TRAVEL,Goibibo: Flash sale live. Save up to Rs.7500 on flights & hotels. Book now https://mmt.to/WlF1Qi,spam,travel_flash_sale
VM-MEGASP,"Play roulette, slots and live casino on PariPlay. Bonus up to Rs.8500. https://playace.in/D38NKFG",spam,casino_vip
AX-HOUSES,Book your apartment visit with Housing and unlock launch pricing in Hyderabad. https://propertylead.app/Z4madfg,spam,real_estate_lead
TX-ZOMATO,Order now on Swiggy and enjoy 68% discount before 09:45. https://foodoffers.app/SvvOOVe,spam,food_delivery_offer
JM-JIOINF,Special Jio recharge pack live now. Save on prepaid plan before 17:00 https://recharge-now.app/6yaW30F4,spam,telecom_recharge
HP-LOANOK,Limited period: PaySense reduces processing fee on loans up to Rs.23000. https://loanfast.in/UijBuBZM,spam,instant_loan_offer
+919484058868,Limited period: Fibe reduces processing fee on loans up to Rs.386000. https://applyloan.co/U78k8I3qR,spam,instant_loan_offer
DM-HLTHPL,Family health plans from Digit now start at affordable monthly premiums. https://acko.co/DU4MIV9ukW,spam,insurance_marketing
TX-YATRAA,Weekend getaway alert from Goibibo. Extra Rs.7200 off with limited seats. https://yatraa.in/J8bYAM,spam,travel_flash_sale
VM-JERUMY,Congrats! Your RummyTime account unlocked Rs.1200 instant cash games. Join now https://rb.gy/h9yh8ZU,spam,rummy_bonus
CP-GARAGE,Cars24: Car service offer unlocked. Save Rs.2100 on pickup & drop maintenance https://carcare.in/GnQLqMfPDl,spam,auto_service_offer
DM-PAYTM,"Your Paytm promo is active now. Shop, recharge or pay bills to earn Rs.1200. https://phone.pe/5BzgGJ8jV",spam,cashback_wallet
VM-JLRUMY,Junglee Rummy: Free Rs.3000 welcome bonus + up to Rs.1600 cash table. Play now https://playnow.app/hO6kGL75UQ,spam,rummy_bonus
TX-LAZPAY,"Your ZestMoney pay-later limit is ready: Rs.28500. Use on shopping, travel and food https://shopcredit.co/b6aXeGWdvB",spam,bnpl_offer
VK-NYKAAA,MyGlamm: Beauty & fashion sale live. Save up to 33% + Rs.200 extra off https://purplle.com/2M7NZ,spam,beauty_fashion_sale
CP-MAKEMY,Weekend getaway alert from Goibibo. Extra Rs.6500 off with limited seats. https://goibibo.in/38IEp4,spam,travel_flash_sale
DM-CARSRV,Need a used car or service? Pitstop has special deals waiting for you https://autodeal.app/psbS,spam,auto_service_offer
CP-SBICRD,SBI Card: Upgrade to a premium card and get 15% cashback + 2200 bonus points. Apply https://cardsales.in/3BtK,spam,credit_card_offer
DM-DREAM,Gamezy: Join mega contest from Rs.179 and win up to Rs.159000. Create team now https://bit.ly/caguQB,spam,fantasy_sports
JD-OFFERS,"Freecharge: Get 35% cashback up to Rs.1450 on recharge, bill pay & scan and pay. Use now https://phone.pe/5jcK",spam,cashback_wallet
AD-HEALTH,"Tata 1mg: Save up to 20% on wellness plans, lab tests and supplements today https://medsave.co/O9g0kHeb",spam,wellness_offer
CP-MONEYV,Need cash? KreditBee can disburse Rs.347000 directly to your bank. Apply now https://rb.gy/Pqt0Qr,spam,instant_loan_offer
+918866114101,Looking for property in Mumbai? NoBroker has verified listings and exclusive builder deals https://propertylead.app/IC7bUeeX,spam,real_estate_lead
BZ-DIGIT,Family health plans from Star Health now start at affordable monthly premiums. https://policybzr.com/Wh1yj0M,spam,insurance_marketing
BZ-RUMMYX,Get Rs.2150 joining bonus on RummyCircle and enter cash pool of Rs.11350. https://gmg.im/iX13,spam,rummy_bonus
AD-BOOKMY,Tonight only on PVR: popcorn combo + ticket discounts. Save Rs.200. https://pvr.im/tg3eO,spam,movie_ticket_offer
JM-DATAPK,Your Airtel data booster is available. Buy 10GB for Rs.19 before midnight https://airtel.in/OLikf8gG5a,spam,data_pack_offer
DM-CASINO,MegaSpin: VIP tables open now. Grab Rs.26200 bonus chips and spin instantly https://playace.in/eQ8BiTngp,spam,casino_vip
BZ-INVITE,Refer & earn on Nykaa: flat Rs.950 per successful install. Start now https://refer.app/y0j4I7Ec,spam,referral_program
AD-MESHOO,Only for you: exclusive Meesho offer up to 28% OFF + prepaid savings. https://fkrt.it/wfTDNYun,spam,ecommerce_sale
DM-ICICIB,Exclusive card offer from SBI Card. Zero joining fee and rewards worth Rs.5700. https://applycard.app/1kmfzwF,spam,credit_card_offer
CP-RBLBNK,SBI Card: Upgrade to a premium card and get 25% cashback + 7400 bonus points. Apply https://applycard.app/GCLxvf7,spam,credit_card_offer
AX-AIRTEL,Vi: Recharge with Rs.369 and get 2GB/day + OTT benefits today https://vi.in/AtAflcD,spam,telecom_recharge
AX-BLINKT,Daily essentials deal from BigBasket. Flat Rs.475 off on orders above minimum cart https://jiomart.com/d6qu,spam,grocery_offer
DM-RBLBNK,You're eligible for a new Axis Bank credit card with airport lounge benefits. Apply now https://cardsales.in/aD0OEx,spam,credit_card_offer
TX-RUMMYX,Get Rs.750 joining bonus on PokerBaazi and enter cash pool of Rs.3750. https://rb.gy/3Ofx7LM,spam,rummy_bonus
CP-TOURNY,Register on Adda52 and claim seat in today's Rs.18000 GTD event. https://s.id/AwkoE,spam,poker_tourney
VM-PVRCIN,Tonight only on BookMyShow: popcorn combo + ticket discounts. Save Rs.400. https://movieoffer.in/Q5xLtpBv,spam,movie_ticket_offer
AD-OFFERS,Pay via Mobikwik before 22:00 and grab extra 44% cashback. T&C apply https://freecharge.in/LHzDA28Ph,spam,cashback_wallet
JM-BLINKT,Instamart: Save Rs.300 on grocery orders and get delivery in 20 min. Order now https://jiomart.com/wDByKSjmB,spam,grocery_offer
DM-GOIBIB,Travel with Ixigo and enjoy up to 15% off on summer bookings. https://yatraa.in/TBxIrt,spam,travel_flash_sale
BZ-SIMPLX,Split bills with Flipkart Pay Later. No-cost EMI and pay-later limit up to Rs.29000. https://bnpl.app/LRmm4e4pN,spam,bnpl_offer
AX-ZOMATO,EatSure: Get up to 80% OFF + free delivery on your next order. Save up to Rs.200. https://zoma.to/20Vyz1,spam,food_delivery_offer
AD-BOOKMY,Tonight only on INOX: popcorn combo + ticket discounts. Save Rs.100. https://pvr.im/NrwcRLjL8,spam,movie_ticket_offer
AD-VODAFO,Special Airtel recharge pack live now. Save on prepaid plan before 08:20 https://airtel.in/GPUehEn4a,spam,telecom_recharge
DM-SIMPLX,Flipkart Pay Later: Shop now and pay later. Credit line up to Rs.48000 activated for you https://paylater.in/M0C04gi,spam,bnpl_offer
+919650795606,RummyCircle: Free Rs.1800 welcome bonus + up to Rs.300 cash table. Play now https://rb.gy/cJyHf,spam,rummy_bonus
BZ-AUTOFX,Spinny: Car service offer unlocked. Save Rs.900 on pickup & drop maintenance https://carcare.in/wUFqN9bUA,spam,auto_service_offer
VM-GLAMUP,Mamaearth: Beauty & fashion sale live. Save up to 52% + Rs.2400 extra off https://beautydeals.app/xQRDc,spam,beauty_fashion_sale
CP-MEGASP,"Play roulette, slots and live casino on JeetWin. Bonus up to Rs.6900. https://rb.gy/Wbcl9Gmy",spam,casino_vip
AX-JIOMRT,Quick grocery savings with JioMart. Extra coupon active till 13:15 https://zepto.app/VR95QH,spam,grocery_offer
BZ-ZOMATO,Hungry? Zomato weekend deal unlocked. Flat Rs.150 off on select restaurants https://swiggy.in/aZW9,spam,food_delivery_offer
VK-FASHON,"Glow up with MyGlamm. Grab lipstick, skincare and makeup deals before 15:00 https://nykaa.com/aoWY5G0bp",spam,beauty_fashion_sale
VK-STUDYX,"Admissions open on PhysicsWallah. Limited seats, expert mentors, easy EMI. Enrol now https://upgrad.co/koFh3qw19",spam,edtech_promo
HP-TRAVEL,Goibibo: Flash sale live. Save up to Rs.3600 on flights & hotels. Book now https://yatraa.in/yiLR,spam,travel_flash_sale
DM-STUDYX,"Admissions open on PhysicsWallah. Limited seats, expert mentors, easy EMI. Enrol now https://upgrad.co/d5PL9D",spam,edtech_promo
AX-ADDA52,Final call: PokerBaazi tournament starts at 21:20. Join from Rs.1799. https://pokerhub.in/Xs2dYS4q2,spam,poker_tourney
AX-HDFCBK,Exclusive card offer from RBL Bank. Zero joining fee and rewards worth Rs.8300. https://cardperks.co/h7V1Kw8tG,spam,credit_card_offer
VM-NYKAAA,Only for you: exclusive Meesho offer up to 72% OFF + prepaid savings. https://fkrt.it/AP4XvQGE,spam,ecommerce_sale
JD-AMZON,Flipkart Sale Live: Up to 46% off on top picks. Extra Rs.4000 off today https://nykaa.com/vdtfMT,spam,ecommerce_sale
+919560660866,"Play roulette, slots and live casino on WinBuzz. Bonus up to Rs.5400. https://vipspin.live/ky9gKMGZre",spam,casino_vip
BZ-ICICIB,ICICI Bank: Upgrade to a premium card and get 14% cashback + 6400 bonus points. Apply https://cardsales.in/1h5QdF,spam,credit_card_offer
CP-JLRUMY,A23 Rummy: Free Rs.2350 welcome bonus + up to Rs.4300 cash table. Play now https://tinyurl.com/YlQVjrztf,spam,rummy_bonus
VK-MOVIES,Your movie pass is waiting. Book on INOX and unlock flat Rs.200 off https://movieoffer.in/Xo1N41Jw0Q,spam,movie_ticket_offer
BZ-RUMMYX,Get Rs.1500 joining bonus on A23 Rummy and enter cash pool of Rs.8000. https://rmy.onl/gCzVn,spam,rummy_bonus
JD-ZEPTOO,Quick grocery savings with Zepto. Extra coupon active till 10:45 https://jiomart.com/WZElJe,spam,grocery_offer
HP-BLINKT,Quick grocery savings with Zepto. Extra coupon active till 18:45 https://blinkit.com/4eT3ZV,spam,grocery_offer
DM-INVITE,Refer & earn on Flipkart: flat Rs.125 per successful install. Start now https://earnbonus.co/1gEWW,spam,referral_program
JD-CARSRV,Book with Pitstop today and get flat Rs.2000 off on your next service https://carcare.in/pw5SzwG,spam,auto_service_offer
AX-CARSRV,Need a used car or service? CarDekho has special deals waiting for you https://carcare.in/FvfKJKQ,spam,auto_service_offer
DM-WELLNS,"Tata 1mg: Save up to 39% on wellness plans, lab tests and supplements today https://medsave.co/xggfW",spam,wellness_offer
HP-VODAFO,Grab your BSNL booster pack of 1GB/day. Recharge at just Rs.319. https://jio.com/txzpsx,spam,telecom_recharge
DM-TICKTS,SkillFest: Live events in Bengaluru this weekend. Tickets from Rs.750. Book now https://district.in/XrF6,spam,local_event_promo
JD-GARAGE,Need a used car or service? Pitstop has special deals waiting for you https://autodeal.app/wcjao4,spam,auto_service_offer
AD-DATAPK,Flat Rs.79 for 1GB high-speed data on Airtel. Tap to recharge https://vi.in/d39DGM7,spam,data_pack_offer
BZ-FANTSY,Only today: extra cashback on Gamezy fantasy leagues. Play and win Rs.160000. https://leaguezone.in/L26Gyh,spam,fantasy_sports
HP-MY11CL,Your fantasy wallet is eligible for booster contest on Dream11. Join now https://play11.win/c9Dcft8U,spam,fantasy_sports
VM-NYKAAA,Only for you: exclusive Meesho offer up to 55% OFF + prepaid savings. https://amzn.to/DvP3R6LeDw,spam,ecommerce_sale
JM-LAZPAY,Split bills with Amazon Pay Later. No-cost EMI and pay-later limit up to Rs.79000. https://bnpl.app/DRkmXQHiG,spam,bnpl_offer
AD-FESTIV,Mega savings are live on Meesho. Use your festive coupon before stock ends https://rb.gy/ewCSzcWx3,spam,festival_sale
VM-LAZPAY,"Your Simpl pay-later limit is ready: Rs.18500. Use on shopping, travel and food https://paylater.in/rbn7yPiyC",spam,bnpl_offer
JM-GOIBIB,Ixigo: Flash sale live. Save up to Rs.800 on flights & hotels. Book now https://yatraa.in/FNESC,spam,travel_flash_sale
BZ-GLAMUP,Your Tira coupon is active. Unlock flat Rs.2350 off on top products https://tira.co/BebJhUn,spam,beauty_fashion_sale
BZ-OFFERS,Zomato: Get up to 60% OFF + free delivery on your next order. Save up to Rs.125. https://eatsure.in/A8aHY6,spam,food_delivery_offer
DM-EDTECH,"Admissions open on Unacademy. Limited seats, expert mentors, easy EMI. Enrol now https://upgrad.co/QSQlWvwsBj",spam,edtech_promo
JD-YATRAA,Weekend getaway alert from Goibibo. Extra Rs.7400 off with limited seats. https://mmt.to/GUsg,spam,travel_flash_sale
